first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,695,228,331,624,247,708,630,,
Iter,2,168,107,319,866,544,287,124,,
Iter,3,977,509,598,432,871,402,511,,
Iter,4,527,824,210,136,403,34,476,,
Average,642,757,335,460,937,764,645,363,,
Maximum,860,760,338,513,548,411,493,99,,
Std.Dev.,476,178,727,605,850,907,796,970,,
Total,112,-,-,-,-,708,851,16,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,638,914,568,544,993,840,210,,
Iter,2,422,908,482,995,624,924,394,,
Iter,3,186,401,665,750,822,613,824,,
Average,487,631,880,448,212,905,960,927,,
Maximum,188,478,209,787,869,712,9,353,,
Std.Dev.,869,456,671,542,200,828,505,594,,
Total,650,-,-,-,-,536,107,46,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,580,688,751,566,64,318,493,,
Iter,2,909,994,946,52,835,157,552,,
Iter,3,393,408,700,725,389,900,990,,
Average,966,426,467,680,893,859,512,199,,
Maximum,944,975,418,492,183,930,413,749,,
Std.Dev.,845,805,86,838,207,171,173,200,,
Total,301,-,-,-,-,820,856,42,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,782,56,539,463,820,191,834,,
Iter,2,567,539,29,364,846,80,539,,
Iter,3,285,408,700,378,51,646,912,,
Average,650,387,270,332,76,919,764,813,,
Maximum,959,191,795,783,718,837,243,101,,
Std.Dev.,220,826,774,574,319,667,5,226,,
Total,289,-,-,-,-,925,31,872,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,656,27,127,306,957,848,17,,
Iter,2,513,482,656,825,787,822,268,,
Iter,3,48,327,229,146,370,807,206,,
Iter,4,502,249,503,748,530,622,77,,
Iter,5,754,875,628,464,19,975,749,,
Iter,6,73,185,274,524,75,934,212,,
Average,994,909,704,364,859,843,11,103,,
Maximum,893,56,99,136,15,733,868,381,,
Std.Dev.,259,555,238,218,372,499,144,722,,
Total,591,-,-,-,-,535,299,50,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,600,725,964,515,193,98,247,,
Iter,2,298,245,711,327,402,553,765,,
Iter,3,196,488,761,255,412,199,835,,
Iter,4,129,756,378,96,813,328,502,,
Iter,5,200,932,266,732,539,528,97,,
Iter,6,786,937,499,242,176,803,41,,
Average,360,648,373,811,610,40,605,230,,
Maximum,568,379,775,846,149,327,507,514,,
Std.Dev.,987,260,761,108,380,237,313,620,,
Total,64,-,-,-,-,756,874,368,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,272,462,430,480,43,894,199,,
Iter,2,399,846,367,734,950,308,149,,
Iter,3,77,564,687,247,571,727,806,,
Iter,4,271,794,250,681,555,955,841,,
Average,606,788,753,895,869,239,355,226,,
Maximum,424,147,385,728,597,79,198,942,,
Std.Dev.,433,463,35,657,135,806,799,925,,
Total,398,-,-,-,-,856,290,551,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,549,989,703,729,735,473,182,,
Iter,2,672,809,267,78,424,159,620,,
Iter,3,985,226,77,167,149,987,379,,
Iter,4,645,537,610,160,158,784,55,,
Average,437,104,871,185,463,555,104,219,,
Maximum,185,436,837,664,62,430,75,709,,
Std.Dev.,781,274,842,807,569,397,931,566,,
Total,857,-,-,-,-,897,958,607,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,583,611,929,156,84,21,233,,
Iter,2,518,326,285,503,36,785,412,,
Iter,3,526,46,553,991,852,921,554,,
Iter,4,619,623,719,614,159,680,567,,
Average,250,570,135,540,143,53,166,260,,
Maximum,121,145,273,24,199,88,188,185,,
Std.Dev.,287,827,716,770,644,447,722,265,,
Total,925,-,-,-,-,282,290,892,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,973,660,609,932,479,623,432,,
Iter,2,61,371,304,991,990,630,763,,
Iter,3,63,701,52,535,671,598,372,,
Average,925,684,844,712,172,388,167,980,,
Maximum,745,87,908,805,499,430,405,38,,
Std.Dev.,97,411,611,584,220,791,353,704,,
Total,540,-,-,-,-,784,871,554,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,591,292,517,237,265,891,256,,
Iter,2,194,43,325,481,536,601,532,,
Iter,3,454,756,534,616,226,732,742,,
Iter,4,484,956,210,381,613,651,344,,
Iter,5,540,182,157,721,144,252,483,,
Average,767,913,856,839,966,968,265,527,,
Maximum,325,575,426,456,895,736,927,986,,
Std.Dev.,289,667,15,259,594,77,655,775,,
Total,345,-,-,-,-,449,673,483,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,415,967,577,225,29,473,945,,
Iter,2,518,74,611,250,990,895,593,,
Iter,3,690,682,738,344,457,73,898,,
Iter,4,340,631,49,827,749,575,820,,
Iter,5,375,834,351,708,642,788,35,,
Average,547,90,682,904,131,111,849,756,,
Maximum,866,919,76,669,106,124,529,85,,
Std.Dev.,273,465,658,429,553,857,9,299,,
Total,5,-,-,-,-,579,732,405,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,415,671,909,217,492,585,453,,
Iter,2,706,309,832,613,713,828,75,,
Iter,3,750,79,803,698,474,594,38,,
Iter,4,695,976,552,631,957,308,928,,
Iter,5,560,166,913,747,710,64,513,,
Iter,6,642,848,510,11,759,909,779,,
Average,595,630,34,225,40,780,89,31,,
Maximum,956,30,829,236,28,35,719,618,,
Std.Dev.,859,512,424,351,577,220,639,178,,
Total,51,-,-,-,-,704,16,843,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,179,223,323,439,994,486,588,,
Iter,2,612,696,783,726,121,801,181,,
Iter,3,1000,926,369,464,356,972,140,,
Iter,4,308,709,149,940,773,639,574,,
Iter,5,345,566,470,934,837,351,272,,
Iter,6,474,537,436,372,20,671,289,,
Average,966,324,591,772,124,199,990,48,,
Maximum,192,405,474,841,56,456,329,550,,
Std.Dev.,530,406,424,360,507,119,627,127,,
Total,726,-,-,-,-,28,321,935,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,883,752,258,115,720,722,831,,
Iter,2,638,615,985,713,350,805,287,,
Iter,3,492,561,955,303,146,236,602,,
Iter,4,802,185,921,651,513,210,727,,
Average,27,515,501,87,988,777,242,224,,
Maximum,752,586,716,521,761,906,30,299,,
Std.Dev.,623,849,619,94,566,530,709,411,,
Total,883,-,-,-,-,256,224,331,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,206,40,866,739,530,959,449,,
Iter,2,536,630,381,724,380,884,495,,
Iter,3,75,714,472,692,715,49,717,,
Iter,4,659,76,880,269,786,720,956,,
Average,173,920,660,766,726,49,671,610,,
Maximum,152,725,522,137,877,305,782,751,,
Std.Dev.,664,713,639,445,451,786,90,600,,
Total,734,-,-,-,-,649,292,411,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,250,229,894,249,886,371,572,,
Iter,2,751,943,101,947,524,929,5,,
Iter,3,631,976,308,185,376,888,734,,
Iter,4,16,493,215,342,54,887,924,,
Average,67,569,411,647,360,644,736,552,,
Maximum,846,637,266,599,84,276,680,790,,
Std.Dev.,52,9,170,69,934,666,467,241,,
Total,946,-,-,-,-,878,642,1000,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,828,512,244,452,227,679,495,,
Iter,2,643,76,39,932,128,799,12,,
Iter,3,713,518,444,95,898,788,553,,
Iter,4,890,871,702,179,382,570,680,,
Average,419,18,258,506,303,699,455,828,,
Maximum,422,517,374,113,704,535,972,359,,
Std.Dev.,948,48,335,6,221,80,981,719,,
Total,532,-,-,-,-,743,31,855,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,649,258,167,706,219,686,898,,
Iter,2,223,484,692,710,540,409,340,,
Iter,3,927,762,465,793,239,113,80,,
Iter,4,129,937,665,689,199,32,938,,
Average,376,344,576,420,839,507,235,41,,
Maximum,201,187,797,873,489,55,71,623,,
Std.Dev.,566,187,576,711,918,572,421,360,,
Total,610,-,-,-,-,356,88,23,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,511,385,665,782,198,88,675,,
Iter,2,148,880,951,166,537,141,871,,
Iter,3,560,777,922,509,668,454,948,,
Iter,4,335,532,319,128,316,785,25,,
Average,904,468,791,231,103,826,740,12,,
Maximum,771,97,495,549,464,495,748,348,,
Std.Dev.,935,259,932,367,367,285,898,675,,
Total,232,-,-,-,-,160,602,869,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,42,284,948,181,682,344,526,,
Iter,2,789,444,911,385,762,923,840,,
Iter,3,529,644,626,398,727,179,942,,
Iter,4,361,869,325,96,306,77,234,,
Iter,5,511,477,885,185,658,347,168,,
Average,732,61,351,818,870,686,160,521,,
Maximum,67,938,836,252,12,917,901,496,,
Std.Dev.,115,147,195,412,384,760,37,521,,
Total,473,-,-,-,-,204,677,974,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,13,867,974,211,71,308,153,,
Iter,2,674,598,636,423,116,146,824,,
Iter,3,923,64,699,594,680,312,764,,
Iter,4,221,638,907,153,295,430,596,,
Iter,5,737,712,77,750,458,115,346,,
Iter,6,928,785,794,236,822,956,346,,
Average,154,41,279,468,827,473,646,115,,
Maximum,298,173,619,798,879,62,11,519,,
Std.Dev.,350,798,173,460,220,299,451,447,,
Total,758,-,-,-,-,490,737,928,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,192,982,283,839,174,374,503,,
Iter,2,824,615,972,329,584,922,179,,
Iter,3,60,77,543,926,867,797,396,,
Iter,4,930,537,489,464,346,684,343,,
Iter,5,359,359,604,629,746,826,677,,
Average,883,545,808,600,964,627,121,789,,
Maximum,647,566,488,148,937,719,721,861,,
Std.Dev.,44,589,712,772,843,34,263,970,,
Total,603,-,-,-,-,630,310,866,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,313,808,940,853,525,320,917,,
Iter,2,643,193,15,262,822,919,669,,
Iter,3,996,260,132,904,122,333,458,,
Iter,4,130,841,980,632,832,449,739,,
Iter,5,572,448,383,730,891,69,612,,
Average,275,397,561,891,698,911,283,635,,
Maximum,381,48,637,914,360,481,419,935,,
Std.Dev.,545,232,703,800,334,114,137,577,,
Total,797,-,-,-,-,298,632,552,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,984,275,46,289,508,241,843,,
Iter,2,693,618,797,192,44,697,564,,
Iter,3,39,953,411,3,217,818,977,,
Iter,4,223,368,466,760,724,825,573,,
Iter,5,559,406,367,826,148,374,950,,
Average,859,327,380,485,477,396,352,842,,
Maximum,730,460,744,11,41,149,439,962,,
Std.Dev.,674,351,808,811,111,790,553,369,,
Total,343,-,-,-,-,546,666,311,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,89,178,99,973,965,509,665,,
Iter,2,678,688,363,453,340,987,120,,
Iter,3,264,676,982,329,977,96,735,,
Iter,4,182,472,943,66,248,157,171,,
Iter,5,539,89,538,316,453,225,325,,
Average,948,488,226,783,120,814,348,880,,
Maximum,30,63,585,257,974,559,986,93,,
Std.Dev.,417,770,574,897,256,466,588,987,,
Total,151,-,-,-,-,961,776,485,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,564,279,771,852,830,438,81,,
Iter,2,184,84,730,733,619,911,602,,
Iter,3,681,947,24,828,746,580,687,,
Iter,4,634,782,57,866,227,733,63,,
Iter,5,789,506,669,839,186,719,922,,
Average,85,432,986,422,723,657,782,805,,
Maximum,472,340,385,267,285,358,665,374,,
Std.Dev.,668,498,321,213,507,761,558,206,,
Total,219,-,-,-,-,809,925,317,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,992,617,267,354,469,225,134,,
Iter,2,538,877,904,317,587,36,895,,
Iter,3,379,865,511,693,719,744,147,,
Iter,4,853,349,298,116,704,91,674,,
Iter,5,47,683,47,531,385,584,679,,
Average,647,904,350,786,645,952,937,874,,
Maximum,790,149,56,583,773,926,672,828,,
Std.Dev.,207,285,760,248,835,169,572,369,,
Total,662,-,-,-,-,792,28,265,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,826,248,626,282,976,90,2,,
Average,234,355,322,958,528,615,233,643,,
Maximum,569,716,122,528,129,405,633,348,,
Std.Dev.,141,904,3,120,473,511,847,233,,
Total,374,-,-,-,-,307,656,922,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,52,216,253,146,532,827,28,,
Iter,2,752,484,997,934,384,696,239,,
Iter,3,803,130,149,501,238,912,815,,
Average,340,223,352,371,520,76,372,860,,
Maximum,324,816,194,324,292,76,803,531,,
Std.Dev.,125,507,113,292,349,708,506,92,,
Total,617,-,-,-,-,306,581,233,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,946,24,962,588,30,158,465,,
Average,537,466,178,647,437,491,389,977,,
Maximum,220,104,34,891,612,990,896,666,,
Std.Dev.,227,863,994,33,979,532,269,211,,
Total,707,-,-,-,-,580,288,981,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,802,410,197,239,276,369,45,,
Average,769,844,737,837,945,671,598,115,,
Maximum,829,216,580,190,97,577,776,724,,
Std.Dev.,627,47,215,339,152,980,883,791,,
Total,882,-,-,-,-,324,987,717,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,921,33,559,992,906,486,535,,
Average,679,490,978,669,39,381,221,729,,
Maximum,413,8,908,525,688,777,454,361,,
Std.Dev.,823,767,904,580,451,933,644,708,,
Total,582,-,-,-,-,280,788,554,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,998,958,763,394,144,317,474,,
Iter,2,713,797,716,275,975,13,644,,
Iter,3,337,575,669,797,415,271,925,,
Average,278,498,621,334,870,260,905,927,,
Maximum,655,404,972,518,97,421,831,366,,
Std.Dev.,162,633,103,346,53,371,254,782,,
Total,210,-,-,-,-,487,576,851,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,275,823,854,626,735,313,557,,
Iter,2,552,112,451,645,632,871,103,,
Iter,3,19,990,997,935,176,417,852,,
Iter,4,293,254,845,169,590,440,264,,
Average,82,954,307,81,787,917,114,896,,
Maximum,499,600,366,863,569,592,100,987,,
Std.Dev.,273,66,651,902,274,200,467,484,,
Total,725,-,-,-,-,18,376,741,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,236,194,496,224,445,761,319,,
Iter,2,294,284,352,668,425,600,188,,
Iter,3,217,993,111,832,263,108,98,,
Iter,4,721,269,853,97,542,362,552,,
Iter,5,447,750,891,645,368,282,778,,
Average,282,427,735,516,739,653,615,137,,
Maximum,363,196,346,706,942,671,385,698,,
Std.Dev.,604,985,288,418,871,143,721,666,,
Total,929,-,-,-,-,949,309,172,,
,,,,,,,,,,
,,,,,,,,,,
first name: Person,last name: Human,date: end of time,,,,,,,,
,,,,,,,,,,
Row Type,Iter Number,Power1,Speed1,Speed2,Electricity,Effort,Weight,Torque,,
Iter,1,439,596,777,809,818,211,48,,
Iter,2,774,796,99,547,46,432,811,,
Iter,3,17,312,730,183,328,785,322,,
Iter,4,984,252,182,479,429,63,125,,
Average,448,948,912,524,513,984,77,780,,
